Sum of Performance,Column Labels,,,,,,,,,,
Row Labels,2,3,4,5,10,15,20,30,40,50,Grand Total
1,1524.141,1704.785,1927.259,1918.535,2374.331,2591.568,2726.656,2921.201,3231.102,3301.92,24221.498
2,379.668,532.085,715.413,870.989,1720.027,2687.087,3229.746,3800.74,4273.897,4305.634,22515.286
4,319.018,364.927,477.53,590.031,1131.417,1785.321,2479.959,3771.883,4639.263,5515.75,21075.099
6,204.874,293.198,395.728,460.241,914.113,1416.043,1863.088,2991.076,3873.499,4880.416,17292.276
8,160.239,244.845,326.314,323.082,772.121,1204.122,1562.138,2386.774,3235.215,3572.382,13787.232
Grand Total,2587.94,3139.84,3842.244,4162.878,6912.009,9684.141,11861.587,15871.674,19252.976,21576.102,98891.391
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,2,3,4,5,10,15,20,30,40,50,
1,1524.141,1704.785,1927.259,1918.535,2374.331,2591.568,2726.656,2921.201,3231.102,3301.92,
2,379.668,532.085,715.413,870.989,1720.027,2687.087,3229.746,3800.74,4273.897,4305.634,
4,319.018,364.927,477.53,590.031,1131.417,1785.321,2479.959,3771.883,4639.263,5515.75,
6,204.874,293.198,395.728,460.241,914.113,1416.043,1863.088,2991.076,3873.499,4880.416,
8,160.239,244.845,326.314,323.082,772.121,1204.122,1562.138,2386.774,3235.215,3572.382,
